timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
16776318,0,0,1,0,0,0,0,0
17282230,0,0,1,0,0,0,0,0
17785071,0,0,1,0,0,0,0,0
18289428,0,0,1,0,0,0,0,0
18792345,0,0,1,0,0,0,0,0
19295092,0,0,1,0,0,0,0,0
19799076,0,0,1,0,0,0,0,0
20304233,0,0,1,0,0,0,0,0
20808071,0,0,1,0,0,0,0,0
21312073,0,0,1,0,0,0,0,0
21815290,0,0,1,0,0,0,0,0
22319778,0,0,1,0,0,0,0,0
22822071,0,0,1,0,0,0,0,0
23326226,0,0,1,0,0,0,0,0
23829069,0,0,1,0,0,0,0,0
24333090,0,0,1,0,0,0,0,0
24837070,0,0,1,0,0,0,0,0
25340069,0,0,1,0,0,0,0,0
25843069,0,0,1,0,0,0,0,0
26348111,0,0,1,0,0,0,0,0
26851070,0,0,1,0,0,0,0,0
27353070,0,0,1,0,0,0,0,0
27856069,0,0,1,0,0,0,0,0
28358090,0,0,1,0,0,0,0,0
28861081,0,0,1,0,0,0,0,0
29364073,0,0,1,0,0,0,0,0
29868100,0,0,1,0,0,0,0,0
30371374,0,0,1,0,0,0,0,0
30874071,0,0,1,0,0,0,0,0
31378069,0,0,1,0,0,0,0,0
31882319,0,0,1,0,0,0,0,0
32384303,0,0,1,0,0,0,0,0
32887231,0,0,1,0,0,0,0,0
33390071,0,0,1,0,0,0,0,0
33893090,0,0,1,0,0,0,0,0
34396072,0,0,1,0,0,0,0,0
34899073,0,0,1,0,0,0,0,0
35403533,0,0,1,0,0,0,0,0
35907071,0,0,1,0,0,0,0,0
36412301,0,0,1,0,0,0,0,0
36916094,0,0,1,0,0,0,0,0
37188115,0,0,1,0,0,0,0,0
37691288,0,0,1,0,0,0,0,0
38194183,0,0,1,0,0,0,0,0
38697151,0,0,1,0,0,0,0,0
39200095,0,0,1,0,0,0,0,0
39702125,0,0,1,0,0,0,0,0
